Processing esp32-s3-devkitc-1 (platform: espressif32; board: esp32-s3-devkitc-1; framework: espidf)
--------------------------------------------------------------------------------
--- Terminal on /dev/cu.usbmodem5C371999181 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
I (28290) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 28061ms
I (28390) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 28161ms
I (28490) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 28261ms
I (28590) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 28361ms
I (28690) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 28461ms
I (28790) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 28561ms
I (28890) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 28661ms
I (28990) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 28761ms
I (29090) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 28861ms
I (29190) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 28961ms
I (29290) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 29061ms
I (29390) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 29161ms
I (29490) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 29261ms
I (29590) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 29361ms
I (29690) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 29461ms
I (29790) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 29561ms
I (29890) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 29661ms
I (29990) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 29761ms
I (30090) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 29861ms
I (30190) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 29961ms
I (30290) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 30061ms
I (30390) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 30161ms
I (30490) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 30261ms
I (30590) M1L6: Read value RAW: 4046, calculated: 3260, calibrated: 3156. Error = -3% at 30361ms
I (30690) M1L6: Read value RAW: 3872, calculated: 3120, calibrated: 3084. Error = -1% at 30461ms
I (30790) M1L6: Read value RAW: 2553, calculated: 2057, calibrated: 2178. Error = 6% at 30561ms
I (30890) M1L6: Read value RAW: 2425, calculated: 1954, calibrated: 2073. Error = 6% at 30661ms
I (30990) M1L6: Read value RAW: 2155, calculated: 1736, calibrated: 1846. Error = 6% at 30761ms
I (31090) M1L6: Read value RAW: 2127, calculated: 1714, calibrated: 1821. Error = 6% at 30861ms
I (31190) M1L6: Read value RAW: 2044, calculated: 1647, calibrated: 1752. Error = 6% at 30961ms
I (31290) M1L6: Read value RAW: 1703, calculated: 1372, calibrated: 1462. Error = 7% at 31061ms
I (31390) M1L6: Read value RAW: 1426, calculated: 1149, calibrated: 1228. Error = 7% at 31161ms
I (31490) M1L6: Read value RAW: 1353, calculated: 1090, calibrated: 1166. Error = 7% at 31261ms
I (31590) M1L6: Read value RAW: 1357, calculated: 1093, calibrated: 1170. Error = 7% at 31361ms
I (31690) M1L6: Read value RAW: 1389, calculated: 1119, calibrated: 1198. Error = 7% at 31461ms
I (31790) M1L6: Read value RAW: 1615, calculated: 1301, calibrated: 1387. Error = 7% at 31561ms
I (31890) M1L6: Read value RAW: 2025, calculated: 1631, calibrated: 1735. Error = 6% at 31661ms
I (31990) M1L6: Read value RAW: 2151, calculated: 1733, calibrated: 1843. Error = 6% at 31761ms
I (32090) M1L6: Read value RAW: 2479, calculated: 1997, calibrated: 2118. Error = 6% at 31861ms
I (32190) M1L6: Read value RAW: 3159, calculated: 2545, calibrated: 2652. Error = 5% at 31961ms
I (32290) M1L6: Read value RAW: 3965, calculated: 3195, calibrated: 3126. Error = -2% at 32061ms
I (32390) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 32161ms
I (32490) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 32261ms
I (32590) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 32361ms
I (32690) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 32461ms
I (32790) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 32561ms
I (32890) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 32661ms
I (32990) M1L6: Read value RAW: 3960, calculated: 3191, calibrated: 3123. Error = -2% at 32761ms
I (33090) M1L6: Read value RAW: 2441, calculated: 1967, calibrated: 2086. Error = 6% at 32861ms
I (33190) M1L6: Read value RAW: 1877, calculated: 1512, calibrated: 1610. Error = 7% at 32961ms
I (33290) M1L6: Read value RAW: 1224, calculated: 986, calibrated: 1058. Error = 7% at 33061ms
I (33390) M1L6: Read value RAW: 967, calculated: 779, calibrated: 842. Error = 8% at 33161ms
I (33490) M1L6: Read value RAW: 921, calculated: 742, calibrated: 803. Error = 8% at 33261ms
I (33590) M1L6: Read value RAW: 894, calculated: 720, calibrated: 780. Error = 8% at 33361ms
I (33690) M1L6: Read value RAW: 863, calculated: 695, calibrated: 754. Error = 8% at 33461ms
I (33790) M1L6: Read value RAW: 867, calculated: 698, calibrated: 757. Error = 8% at 33561ms
I (33890) M1L6: Read value RAW: 927, calculated: 747, calibrated: 809. Error = 8% at 33661ms
I (33990) M1L6: Read value RAW: 1451, calculated: 1169, calibrated: 1249. Error = 7% at 33761ms
I (34090) M1L6: Read value RAW: 2334, calculated: 1880, calibrated: 1996. Error = 6% at 33861ms
